filename,transcription,label
578982906.mp4," that they did that after the conference had finished up. In this case here, it's very, very different. In this case here, the child nutrition reauthorization bill we had hoped to have already done by now is not completed. And if, in fact, this language was not put in here to extend expiring child nutrition authorization programs, and let me just kind of tell people what that is. It's things like school breakfasts and school lunches, and after school meals for kids, who otherwise wouldn't get access to meals in the children. Would a gentleman yield? So, that language, which was a-",2
578984029.mp4," from North Carolina for the time, I have to rise today in strong opposition to this rule and unfortunately and reluctantly in opposition to the conference report itself. The main reason for this rule is simply outrageous. We've had a long debate for years around here about air dropping items in conference. That is the, what happens is that you have a bill that comes out of the house that does not have a provision in it, a bill that comes out of the Senate does not have a provision in it. Then in conference, policies and new laws are dropped in, in conference with no debate, no discussion, nothing passed off the floor of either body, but just come from afar, air dropped at conference time. Within this bill, there are at least five new programs that were air dropped in conference costing $150 million. That's in this bill. And it certainly is way beyond the scope of the Rules Committee to approve this. Maybe there's some debate in the Rules Committee sometime that they agreed to it, but certainly There's no other member that knows what these provisions are for, and again, to spend $150 million five new mandatory programs in this bill that no one has debated in either body is simply outrageous. And Mr. Speaker, I also today have to oppose the conference report reluctantly. And there are things in this conference report that I support, such as the research for agriculture, child nutrition aid to farmers, all of these things. However, this is not, in my opinion, a responsible bill. Today we're going to vote on an agricultural appropriation package that exceeds $121 billion. It contains huge increases in spending over last year's levels. Mandatory appropriations in this bill total $97.8 billion, that's $10 billion more than last year. and nearly two-thirds of this increase is for domestic nutrition programs, maybe very, very worthwhile and needed. That's a $6.2 billion increase, 9% over last year's level. However, neither the House nor the Senate Appropriations Committee ever held a hearing on these items, or you're spending an additional $6.2 billion with a proper agency to actually discuss the need whether or not the spending is justified. Farm commodity programs receive a $2.8 billion increase that's 25% over last year. And again, Congress, the committee had no hearings to justify that kind of an increase. Federal crop insurance, which I very much support. Can I get a few more minutes? Two more minutes.",2
595062722.mp4," or the Com Act, is a bill this time has come and perhaps because the transition to digital has created the perk opportunity for industry to take care of this. But they did not take care of this for some 60 years. The bill would require the Federal Communications Commission to issue regulations based on industry standards for loud commercial advertisements within one year of enactment. The regulation would take effect one year after adopted by the FCC. Now according to testimony at a June energy and commerce hearing, consumer complaints about loud commercials have been streaming, streaming into the FCC as far back into 1960 and are among the most common complaints. Complaints continue to come into the FCC today. In fact, in the 25 quarterly reports on consumer complaints that have been released since 2002, 21 have listed complaints about the, quote, abrupt changes in volume during transition from regular programming to commercials, end quote. As among the top, the top consumer grievances regarding radio and television broadcasting. So as we can tell, this issue is a top issue for our consumers. Now this issue is a little bit more complex than it appears. Many different entities are responsible for producing and distributing the content that consumers hear and see in their living rooms. Each element may be recorded and provided at a different respective volume level. Moreover, shows and movies have a dynamic sound range to cover everything from a quiet scene to a huge explosion. Meanwhile, tend to have a narrow sound range. Volume levels are typically set for the programming, which can simply throw off the volume levels for the commercial. But that pointed out earlier. Now we have a solution in place because the transition to digital has made that possible. Two years ago, the Advanced Television Systems Committee established a subgroup on digital television loudness. Now, was this subgroup consisting of leading experts on audio technology who participated together in from all the major broadcasting networks, cable production companies, and post-production, manufacturing and education, all these very bright, talented, highly technical people got together in this subgroup? They established a way to solve the problem. And since it was established, these audio technology experts have crafted this hard-fought consensus on a recommended practice that should be employed across the TV industry to deal with the complaint that consumers have made for almost 50 years. I trust the collective wisdom of these technical experts, it's done by the private sector, and subgrouped hard work to craft a solution to the TV loudness issue. Let me say a few more comments about this. going to be some small cable companies, broadcasters, are going to have difficult time complying with this. Remember now, after one year, the FCC is going to take this directive that the advanced television system establish and it's going to make it industry wide. Now some of these small companies are going to complain that they can't afford to implement it. In the bill, there's a one-year extension for those small companies. If it turns out they still can't make it, there's another extension. So now we have the majority of the industry able to do this, but we have set aside within the bill a safety hardship in which they just demonstrate they can't do it for financial reasons, and they'll be left to have another year to meet the standards. So in a sense, Mr. Chairman, I think we have a solution to a problem that has been one the biggest complaints with the FCC all these years and so with that in mind I urge my colleagues to support HR 1804 and I reserve the balance of my time. German reserves, German from...",2
595063041.mp4," fully enforced, weaken the oppressors and express support for the opposition. They send a clear message to the dissidents and those who are hungry for freedom that we stand with them. They refine petroleum sanctions bill will force the regime to use its resources to take care of the Iranian people, something that they have not done, instead of using its funding to develop nuclear weapons and the missiles to deliver them. Support the Iranian people, support peace and security, support this bill. I thank the General Lady for the time. General Lady's time has expired.",2
595066445.mp4," Do they suggest that we take out the $3.2 billion increase for veterans so that we can clean up the disability backlog? Of course not. Would they suggest that there's something wrong with the fact that in contrast to what happened when they were running the show, we chose to put $14.8 billion for war costs that were previously funded in a supplemental, we chose to put them in the regular bill. So you didn't hide the cost in a regular bill. On infrastructure, as the gentleman pointed out, we've had collapsing infrastructure in this country. Would they suggest we remove the $10.8 billion in additional infrastructure funding? In health, we are about to pass the most momentous healthcare changes in the history of the country. We have $6.3 billion of additional funding over last year to expand the capacity of the healthcare system to deal with the fact that 31 million more people are going to be using that healthcare system. Would they suggest that we take that money out? When you total up the cost for those items that I've just recited, the rest of the increase in the bill is 4.8 billion dollars. That is equal to 1 percent increase. I make no apology for that because as the gentleman pointed out we are trying to deal with years of neglect of our domestic economy. This is the bill that thank you. This is the bill that does that And I make no apology for the fact that we bring it to the House today. And I make no apology for our ability, for comparing our ability to deliver the goods before the end of this Congress in contrast to the inability of the other party to do that when they control the House. Now I'd be happy.",2
595080869.mp4," Thank him for his leadership. I rise to support HR 3791 and the billion dollars for the AFG per year and the 1.2 billion for the safer. In my community over the last three months, we've had 17 fires in heights and shade acres putting firefighters in jeopardy and threatening lives. This legislation is enormously important in that it allows cities over 2.5 million to get grants up to 9 million dollars. I would be looking forward or like to look forward to work with the chairman to establish a study to determine the propensity of fire instigators, if you will, threatening the lives of firefighters, and I'd like to be able to work with the chairman on this crucial issue of providing a study so that we can emphasize these grants going to fighting against serial fires. Are you up to the gentleman? Thank you, my friend from Texas.",2
595082184.mp4," judge H. Dale Cook. Judge Cook was a World War II veteran who spent nearly 50 years in public service and more than 33 years as the United States District Judge in Oklahoma. Judge Cook began his career in public service in 1951 when he was elected County Attorney for Logan County and Guthrie. He would hold several other positions in public service in Oklahoma including first assistant US attorney, chief trial attorney, and legal counsel and advisor to Governor Henry Belman. In the early 1970s, Judge Cook worked in Washington, D.C. for the Social Security Administration until beginning his career as a federal judge in 1974 when he was sworn in as U.S. District Judge and the Northern, Eastern, and Western Districts of Oklahoma. years later in 1979, Judge Cook became chief judge of the Northern District and served in that capacity for 13 years. In 1992, Judge Cook took senior status to enable the appointment of an additional judge to the Northern District. As a senior judge, he continued to be active and carried a full court docket for the next 12 years until a few months before his death in September 22, 2008. Judge Cook was adamantly committed to his belief that politics should play no role in the dispensing of justice and demonstrated that belief in his judicial rulings and the administration of his responsibilities as chief judge. He was a man of fairness and integrity who opened each court session with God bless the United States and saved this honorable court. Judge Cook's greatest legacy may be the restoration of the and the reopening of the original federal courthouse in Tulsa, Oklahoma, when the federal courts removed another building about 45 years ago, the old federal building sat largely unused. Judge Cook saw this building as a solution when there became a need for additional court space. He spirited the effort to restore it to its original splendor. Judge Cook used his powers of persuasion and his influence as Chief Judge of the Northern district to insist on conforming the courthouse to its original design and decor. Without his involvement, the building would have never been used for its current purpose and the beauty of a lost era would not be visible as it is today in Tulso, Oklahoma. By his direct efforts, the building is now included in the national registry of historic places and is currently used for the courtrooms, judicial chambers, the bankruptcy court, and affiliated federal offices of the Northern District of Oklahoma. Due to the vision and hard work of Judge Cook, the building is now being used for its original purpose as a federal judicial courthouse. Preserving the beauty of a lost era as a federal judge, he conducted his duties in a nonpartisan manner. It is my hope that the naming of this federal building will be as equally bipartisan Equally as a bipartisan effort to his honor to the honor of this exceptional man And is an exemplary career in public service and bringing the federal courthouse back to its original grander I urge the adoption of HR 30305 and I yield back the balance of my time The gentleman yields back the gentleman from Florida reserves",1
595093693.mp4," again appreciate the the tireless work he does for veterans it's uh... it's uh... it's a great testament the folks in florida lucky to have you there uh... but thank you mr. speaker united states submarine force was a vital component winning the war in the pacific during world war two the war simply could not have been one without this powerful undersea fighting force although the submarine force comprised a little less than two percent of the navy's fleet during world war two they played a crucial role in effectively eliminating up to 30 percent of Imperial Japanese Navy reducing Japan's ability to sustain their combat forces. Day after day, the submarineers entrusted their lives on unreliable torpedoes to protect them as they fought to protect the liberties and freedom of the United States. For their courage and valor that runs deep, the United States submarine force should be formally commended by the House of Representatives. House Resolution 773 resolves that the House of Representatives is committed to keeping alive their memory so that the American people never forget the courage and sacrifice. We will give honor to the 52 American submarines that were lost during World War II and the 3,500 mariners who made the ultimate sacrifice to protect the freedoms of this great nation. The seven brave submarines who were awarded the Medal of Honor are John Cromwell, Samuel Deely, Eugene Fluxi, Howard Gilmore, Richard O'Kane, Lawson Rammage and George Street. Their courageous fighting spirit going above and beyond the call of duty is recognized and highly respected. Service members like them have set the example that our armed forces follows. The contributions of the United States Submarine Force were momentous and critical to winning World War II. They exemplify the legacy of commitment to guard our freedoms. I support House Resolution 773 that expresses the sense of the House of Representatives with respect to the United States Submarine Force. We should be committed to sustain our Submarine Force of spirit, unity, courage, and sacrifice. given for this great nation. And for that, I also want to thank the gentleman from Arkansas for introducing this important piece of remembrance and commemoration. And with that, I reserve the balance of my time. I'm a speaker. I yield myself as much time as I make.",0
595093892.mp4," Resolution 461 to honor the Sentinels of Freedom Scholarship Foundation. Sentinels of Freedom is an organization that provides support and opportunities selected veterans with injuries sustaining 60 percent or higher levels of disability in all branches of our military, post 9-11. They provide significant support in assisting our veterans to readjust back to civilian life and prosper in their hometowns or new communities. Each of the past recipients of the Sentinel of Freedom Scholarship has an inspiring story of recovery. Many of them have lived through injuries which they were not expected to survive and further endured many surgeries and months of recovery. For example, Army veteran Jake Brown accepted the first sentinel of Freedom Scholarship in 2004, crushed by a tank while serving in Germany, he was in a coma for 10 days and Jake was not expected to live, but now he is back in his hometown and he is thriving. Rick returned to his hometown of San Ramon, California with his wife, and currently works for UPS, where he is in two promotions. He is also on the Dean's list at Diablo Valley College. He has dreams of ultimately attending UC Berkeley's Hot School of Business. Despite having life-altering physical handicaps, veterans like Jake Brown are grateful to be alive and continue to prosper in their communities. As Mike Conklin, chairman of CEO and CEO of Sentinel of Freedom Describes, the program is not a charity, but rather an investment in the life of a person who has served our nation and has earned the right to achieve his or her part of the American dream. As our veterans return home from war, it's fitting to have House Resolution 461 before us today. I am grateful to have the Sentinel of Freedom and other organizations that assist our wounded veterans and shed light and let them achieve their dreams. With that, Mr. Speaker, I reserve the balance of my time. General Reserves the balance of his time, General from Arkansas. Thank you, Mr. Speaker. I yield myself.",0
595093948.mp4," Americans off or letting me have a couple of minutes. I think you've already covered all of most of my speech, but we are very honored to be able to name the outpatient clinic in Alexandria after a true American hero, Mr. Max Bilky, who grew up in a small farm near Alexandria, Minnesota. It was a 1950 graduate of Alexandria High School. He was drafted into the Army and sent to Korea in 1952. And shortly after he returned home from his tour of service in Korea, he re-enlisted and made the Army his full-time career. Max has been noted served in Korea, Germany, and lastly Vietnam, during his eighth month tour served as Operation Sergeant at Camp Alpha in Saigon. Where all soldiers were processed going to and coming from the United States. And as was noted, he was a last combat soldier to leave Vietnam while his family watched on television. After 21 years in the Army, Max retired in 1974 as master sergeant, eventually settled in Laurel, Maryland, where he lived with his wife, Lisa, and raised two daughters. After retiring from the Army, he earned a master's degree from Central Michigan University. As was noted, Max was very instrumental establishing the Criker system for our veterans and it was because of that he was at the Pentagon on September 11th and met his on timely death on that day. He was laid to rest as was noted on December 11th at Arlington. He had a distinguished career in the Army and as his civilian. He has the support of all Minnesotans and of our veterans organizations and he very much deserves to have this clinic named after him. I want to commend the VA for opening this clinic. I think this is the fifth clinic that they have opened in my district. It was proposed in 2004 and we had the grand opening ceremony just last month and for too long rural veterans in my district have had to travel too far for healthcare, but this clinic will bring veterans healthcare services closer to all the veterans who live in that area. The VA estimates that it will serve 3,500 local veterans with primary care and mental health care and will provide a variety of other services as well. So I thank you Mr. Beaker and I urge your house to pass this legislation, yield back the balance of my time. At the balance of his time, the gentleman from Minnesota reserves the gentleman from Arkansas as recognize.",1
